Timestamp,Source IP,Destination IP,Query Name,Query Type,Response Code,TTL,Transaction ID,Query Volume,Anomaly Flag,DNS Proxy Name,Comment,Unused Data 1,Unused Data 2,Log Source,Empty Field
2024-01-01 00:00:00.000000000,109.222.113.178,126.56.207.17,smith-bowers.com,A,SERVFAIL,15404,41565,595,0,Leonard-Flowers,Experience ok success senior close.,54.832313011723954,relate,datadog,environment
2024-01-01 00:21:53.411341134,29.137.28.77,84.229.152.46,gray.com,A,NXDOMAIN,69230,62642,489,0,Maynard Inc,Reduce future join visit north serve official.,84.6700394551837,send,splunk,
2024-01-01 00:43:46.822682268,222.178.3.248,23.20.1.137,keller.com,CNAME,SERVFAIL,75349,60360,959,0,Ortiz PLC,Commercial huge front collection.,0.40786043378255865,official,splunk,
2024-01-01 01:05:40.234023402,18.167.89.178,129.111.92.250,lewis.com,A,SERVFAIL,50656,27809,72,0,Martinez PLC,Exactly population serious state near hard.,24.137844445213,standard,splunk,
2024-01-01 01:27:33.645364536,149.68.9.173,180.121.15.72,gonzalez.com,A,SERVFAIL,48772,48936,80,0,"Miller, Cain and Fuller",Feeling account middle work answer.,89.73358040901871,hard,datadog,air
2024-01-01 01:49:27.056705670,36.85.64.252,89.21.32.48,rodriguez-mcintosh.biz,MX,SERVFAIL,51436,20344,731,0,"Johnson, Myers and Padilla",Once expect loss idea memory growth find.,45.43831721839615,future,syslog,
2024-01-01 02:11:20.468046804,32.148.132.250,81.224.179.221,calhoun-munoz.info,A,NOERROR,84737,22012,354,0,"Bradford, Woodward and Caldwell",Itself product nothing me.,8.162779762582984,yes,splunk,
2024-01-01 02:33:13.879387938,84.55.101.224,145.232.130.68,garcia.biz,CNAME,NXDOMAIN,42999,13899,744,0,Melendez Inc,Hotel skill such because worry director table design.,74.90029098465196,foot,datadog,bank
2024-01-01 02:55:07.290729072,15.233.35.177,181.18.196.126,hampton-newton.com,AAAA,NXDOMAIN,75029,61949,60,0,White LLC,Improve market east cost boy than.,6.189596957233789,set,datadog,
2024-01-01 03:17:00.702070207,119.202.255.69,15.40.6.224,grimes.com,A,SERVFAIL,71332,46905,582,0,Delacruz Group,Week really any argue yourself join design.,14.208951662703683,worry,syslog,
2024-01-01 03:38:54.113411341,143.66.40.56,15.129.67.191,nunez.com,A,NOERROR,58570,42873,470,0,"Kelley, Boyd and Fry",Really ball college degree against yeah throw.,4.708280609266769,brother,datadog,capital
2024-01-01 04:00:47.524752475,50.164.77.210,97.1.181.115,brooks.info,MX,SERVFAIL,27140,7818,317,0,"Parrish, Miller and Mcintosh",Pass chair interview space.,6.289204960802475,us,datadog,
2024-01-01 04:22:40.936093609,69.223.61.209,44.34.191.1,wilcox-cervantes.com,TXT,NOERROR,6221,60955,259,0,Jennings-Webb,Window national method.,0.6253897296509936,policy,syslog,
2024-01-01 04:44:34.347434743,210.161.61.35,128.222.115.184,martin.com,CNAME,NXDOMAIN,46286,45840,193,0,Reynolds-Castillo,General moment vote.,79.95456762083255,beat,datadog,
2024-01-01 05:06:27.758775877,9.18.1.69,67.1.232.75,liu-chen.com,A,NOERROR,61137,40238,43,0,"Taylor, Weaver and Gonzalez",Hit person term property above consumer.,66.82577398881855,old,datadog,
2024-01-01 05:28:21.170117011,21.16.254.204,196.190.146.60,jackson.net,A,NXDOMAIN,77832,59507,305,0,Harris Group,Mention little debate.,16.285955913346683,long,datadog,
2024-01-01 05:50:14.581458145,30.61.133.195,150.179.154.77,blankenship-crawford.com,AAAA,NXDOMAIN,60148,47582,220,0,Andersen-Jones,Citizen local other notice none blood.,38.444834792116765,business,splunk,
2024-01-01 06:12:07.992799279,143.113.66.7,80.182.42.11,gardner.biz,CNAME,SERVFAIL,1992,57121,287,0,Davis-Griffin,Course production kid.,70.87885104770099,we,syslog,
2024-01-01 06:34:01.404140414,143.181.45.107,198.203.140.32,bates.com,CNAME,NXDOMAIN,21503,16413,877,0,Lambert-Michael,Feel guess treatment guy court.,92.68325356591042,range,syslog,step
2024-01-01 06:55:54.815481548,180.50.97.235,152.131.40.138,bowman-cordova.info,A,NXDOMAIN,13367,12053,89,0,"Roberson, Duran and Diaz",Around agree likely degree.,1.8143896453716168,likely,syslog,
